,Archetype_Name,Meta_Share
0,Izzet,10.91%
1,Mono-Green,9.61%
2,Dimir,8.36%
3,Izzet,8.09%
4,Dimir,7.28%
5,Simic,5.52%
6,Izzet,4.57%
7,Azorius,4.10%
8,Mono-Green-Red,3.59%
9,Boros,3.55%
10,Jeskai,3.34%
11,Temur,2.98%
12,Rakdos,2.30%
13,Rogue,2.25%
14,Bant,1.96%
15,Sultai,1.93%
16,Gruul,1.57%
17,Grixis,1.38%
18,Dimir,0.97%
19,Azorius,0.93%
